"asset_key","game_number","game_id","display_name","category","platforms","asset_type","size","output_path","prompt_policy","generation_status","review_status","source_generated_image"
"0001_icon_diablo2_archipelago","1","diablo2_archipelago","Diablo II: Lord of Destruction","Action RPG","PC","icon","256x256","Assets/diablo2_archipelago.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d4fa954fc8191b1203bcbca7d445d.png"
"0001_thumb_diablo2_archipelago","1","diablo2_archipelago","Diablo II: Lord of Destruction","Action RPG","PC","thumbnail","488x256","Assets/Thumbs/diablo2_archipelago_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d4ff4e39c81918c1e1760ac3c48da.png"
"0001_hero_diablo2_archipelago","1","diablo2_archipelago","Diablo II: Lord of Destruction","Action RPG","PC","hero","1380x280","Assets/Heroes/diablo2_archipelago_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d503409588191968ff65e49e815ad.png"
"0002_icon_openttd_archipelago","2","openttd_archipelago","OpenTTD Archipelago","Strategy","PC","icon","256x256","Assets/openttd_archipelago.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5073a7748191b49b6313918ed410.png"
"0002_thumb_openttd_archipelago","2","openttd_archipelago","OpenTTD Archipelago","Strategy","PC","thumbnail","488x256","Assets/Thumbs/openttd_archipelago_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d50ca7ae88191848975861da4bd37.png"
"0002_hero_openttd_archipelago","2","openttd_archipelago","OpenTTD Archipelago","Strategy","PC","hero","1380x280","Assets/Heroes/openttd_archipelago_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d51129aec8191ace525365c37dbf1.png"
"0003_icon_pokemon_emerald","3","pokemon_emerald","Pok̩mon Emerald","Adventure","GBA","icon","256x256","Assets/pokemon_emerald.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d4dfeeba08191b36cc60a179d3079.png"
"0003_thumb_pokemon_emerald","3","pokemon_emerald","Pok̩mon Emerald","Adventure","GBA","thumbnail","488x256","Assets/Thumbs/pokemon_emerald_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d4e610d2c819195b294659adb813b.png"
"0003_hero_pokemon_emerald","3","pokemon_emerald","Pok̩mon Emerald","Adventure","GBA","hero","1380x280","Assets/Heroes/pokemon_emerald_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d4e98a9b08191af9aa47cbf8925d8.png"
"0004_icon_apsudoku","4","apsudoku","APSudoku","Hint Game","PC","icon","256x256","Assets/apsudoku.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d515ebdb88191b24393c74f9815d8.png"
